timestamp,provider_id,provider_name,category,image_id,run_number,e2e_ms,inference_ms,throughput,ram_peak_mb,energy_mwh,model_size_mb,total_tokens,cost_usd,caption_text,model_name,success,error
2025-12-12 21:53:08,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000139,1,418.855,417.76586,2.387461054541548,4.9376983642578125,,387.0431098937988,10,,"a living room with a fireplace and a tv",ViT-GPT2,1,""
2025-12-12 21:53:09,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000139,2,472.847696,470.669843,2.1148458762924798,19.719696044921875,,387.0431098937988,10,,"a living room with a fireplace and a tv",ViT-GPT2,1,""
2025-12-12 21:53:10,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000139,3,432.860195,431.048985,2.310214733419875,19.750961303710938,,387.0431098937988,10,,"a living room with a fireplace and a tv",ViT-GPT2,1,""
2025-12-12 21:53:10,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000139,4,431.420507,429.98902400000003,2.317924122230008,19.719696044921875,,387.0431098937988,10,,"a living room with a fireplace and a tv",ViT-GPT2,1,""
2025-12-12 21:53:11,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000139,5,448.134531,446.692773,2.2314727628074706,21.899383544921875,,387.0431098937988,10,,"a living room with a fireplace and a tv",ViT-GPT2,1,""
2025-12-12 21:53:11,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000285,1,405.19875,404.40265600000004,2.4679246912780455,17.282089233398438,,387.0431098937988,9,,"a brown bear sitting on a green field",ViT-GPT2,1,""
2025-12-12 21:53:12,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000285,2,406.22125,402.23375,2.46171267505085,3.9064178466796875,,387.0431098937988,9,,"a brown bear sitting on a green field",ViT-GPT2,1,""
2025-12-12 21:53:12,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000285,3,430.952812,428.555195,2.320439667997804,17.219589233398438,,387.0431098937988,9,,"a brown bear sitting on a green field",ViT-GPT2,1,""
2025-12-12 21:53:13,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000285,4,440.602539,438.756094,2.26961924066443,4.9672393798828125,,387.0431098937988,9,,"a brown bear sitting on a green field",ViT-GPT2,1,""
2025-12-12 21:53:13,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000285,5,435.016211,432.85804699999994,2.298764907407094,17.219589233398438,,387.0431098937988,9,,"a brown bear sitting on a green field",ViT-GPT2,1,""
2025-12-12 21:53:14,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000632,1,456.547774,455.66,2.1903512774547007,3.968902587890625,,387.0431098937988,10,,"a bed with a book shelf and a window",ViT-GPT2,1,""
2025-12-12 21:53:14,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000632,2,455.159726,454.294023,2.197030938541342,19.750946044921875,,387.0431098937988,10,,"a bed with a book shelf and a window",ViT-GPT2,1,""
2025-12-12 21:53:15,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000632,3,449.953086,449.122461,2.222453920451609,19.750961303710938,,387.0431098937988,10,,"a bed with a book shelf and a window",ViT-GPT2,1,""
2025-12-12 21:53:15,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000632,4,474.76332,472.739415,2.1063126780729395,19.719696044921875,,387.0431098937988,10,,"a bed with a book shelf and a window",ViT-GPT2,1,""
2025-12-12 21:53:16,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000632,5,467.700781,466.745233,2.13811915785533,21.899383544921875,,387.0431098937988,10,,"a bed with a book shelf and a window",ViT-GPT2,1,""
2025-12-12 21:53:17,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000724,1,594.588867,593.741445,1.6818343825465536,25.493408203125,,387.0431098937988,13,,"a stop sign is on a pole in front of a building",ViT-GPT2,1,""
2025-12-12 21:53:17,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000724,2,591.392969,588.600898,1.6909230451131725,28.548233032226562,,387.0431098937988,13,,"a stop sign is on a pole in front of a building",ViT-GPT2,1,""
2025-12-12 21:53:18,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000724,3,593.022071,590.238476,1.6862778788548665,14.914810180664062,,387.0431098937988,13,,"a stop sign is on a pole in front of a building",ViT-GPT2,1,""
2025-12-12 21:53:19,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000724,4,608.043945,606.886289,1.644617972472368,28.5482177734375,,387.0431098937988,13,,"a stop sign is on a pole in front of a building",ViT-GPT2,1,""
2025-12-12 21:53:19,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000724,5,593.038516,591.504179,1.6862311182499992,28.548233032226562,,387.0431098937988,13,,"a stop sign is on a pole in front of a building",ViT-GPT2,1,""
2025-12-12 21:53:20,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000776,1,647.159883,646.3254300000001,1.5452132097007625,10.797409057617188,,387.0431098937988,14,,"a brown teddy bear sitting next to a brown teddy bear",ViT-GPT2,1,""
2025-12-12 21:53:21,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000776,2,646.250547,644.2869910000001,1.547387471689057,22.477630615234375,,387.0431098937988,14,,"a brown teddy bear sitting next to a brown teddy bear",ViT-GPT2,1,""
2025-12-12 21:53:22,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000776,3,647.71082,645.782773,1.543898865237422,31.860885620117188,,387.0431098937988,14,,"a brown teddy bear sitting next to a brown teddy bear",ViT-GPT2,1,""
2025-12-12 21:53:22,vit_gpt2_onnx_local,ViT-GPT2 (Local),Local,000000000776,4,663.731485,660.730507,1.5066333639423477,3.1329345703125,,387.0431098937988,14,,"a brown teddy bear sitting next to a brown teddy bear",ViT-GPT2,1,""
